subject_id,concept_id,concept_name,difficulty,question_type,question_id,question_text,option_a,option_b,option_c,option_d,correct_answer
2,21,Momentum,Intermediate,Reasoning,S2_C21_Reasoning,"Two objects have the same mass, but one moves faster than the other. Why does the faster object have greater momentum?",Momentum increases with velocity when mass is fixed,Momentum decreases whenever velocity increases,Momentum depends only on the object's temperature,Velocity has no effect on momentum,A
2,21,Momentum,Intermediate,Problem Solving,S2_C21_Problem_Solving,A 2 kg ball has momentum of 10 kg·m/s. What is its speed?,2 m/s,5 m/s,10 m/s,20 m/s,B
2,21,Momentum,Intermediate,Misconception Detection,S2_C21_Misconception_Detection,"A student says, 'A heavier object always has more momentum than a lighter object.' Why is this not necessarily correct?",Momentum depends only on shape,Mass has no effect on momentum,Momentum depends on both mass and velocity,Momentum is always zero for moving objects,C
2,21,Momentum,Intermediate,Transfer,S2_C21_Transfer,"A loaded truck and a small car are moving at the same speed. Which one generally has greater momentum, and why?","The car, because smaller objects always have greater momentum","Neither object, because momentum requires acceleration","Both objects, because equal speed means equal momentum","The truck, because its greater mass gives it greater momentum at the same speed",D
2,22,Work and Power,Intermediate,Understanding,S2_C22_Understanding,"In physics, when is mechanical work done on an object by a force?",When the force causes displacement in a relevant direction,Whenever an object exists,Only when the object has zero displacement,Only when the object is at rest,A
2,22,Work and Power,Intermediate,Application,S2_C22_Application,A force of 10 N moves an object 4 m in the same direction as the force. How much work is done?,2.5 J,40 J,14 J,400 J,B
2,22,Work and Power,Intermediate,Reasoning,S2_C22_Reasoning,"Two machines perform the same amount of work, but one completes it in less time. Why does the faster machine have greater power?",Power depends only on the amount of mass involved,Power describes how quickly work is performed,Power becomes smaller whenever work is completed faster,Power does not depend on time,B
2,22,Work and Power,Intermediate,Problem Solving,S2_C22_Problem_Solving,A machine does 600 J of work in 20 seconds. What is its average power?,30 W,20 W,120 W,"12,000 W",A
2,22,Work and Power,Intermediate,Misconception Detection,S2_C22_Misconception_Detection,"A student says, 'If I push a wall with a large force but the wall does not move, I always do mechanical work on the wall.' What is the key issue?",Force cannot exist without motion,Walls have no mass,Mechanical work requires displacement in the direction of the force,Work is always equal to power,C
2,22,Work and Power,Intermediate,Transfer,S2_C22_Transfer,"Two students lift identical boxes to the same height. Student A takes 5 seconds and Student B takes 10 seconds. Assuming the same work is done, which student has greater average power?","Student B, because more time means more power","Neither student, because lifting a box requires no power","Both students, because they perform the same work","Student A, because the same work is completed in less time",D
2,23,Circular Motion,Intermediate,Understanding,S2_C23_Understanding,What is characteristic of an object moving in a circular path at constant speed?,Its velocity remains unchanged,It cannot experience a force,It has no acceleration,Its direction of motion continuously changes,D
2,23,Circular Motion,Intermediate,Application,S2_C23_Application,A car travels around a circular track at constant speed. What provides the inward force needed to keep it moving in the circle?,The force must point directly upward,The force must point toward the center of the circle,There is no force acting on the car,The force must always point opposite to the velocity,B
2,23,Circular Motion,Intermediate,Reasoning,S2_C23_Reasoning,Why can an object moving at constant speed in a circle still be accelerating?,Acceleration occurs only when speed increases,Constant speed means that acceleration must always be zero,An object in circular motion has no velocity,Acceleration can occur when velocity changes direction,D
2,23,Circular Motion,Intermediate,Problem Solving,S2_C23_Problem_Solving,An object moves in a circle of radius 2 m with speed 4 m/s. What is its centripetal acceleration?,8 m/s²,2 m/s²,4 m/s²,16 m/s²,A
2,23,Circular Motion,Intermediate,Misconception Detection,S2_C23_Misconception_Detection,"A student says, 'If the speed of an object moving in a circle is constant, there is no acceleration.' What is wrong with this reasoning?",Acceleration can occur only when speed increases,Circular motion has no changing velocity,The object's velocity changes direction even though its speed remains constant,Constant speed means the object has no velocity,C
2,23,Circular Motion,Intermediate,Transfer,S2_C23_Transfer,A satellite moves around Earth in an approximately circular orbit. What keeps changing even if its orbital speed is approximately constant?,Its velocity direction,Its identity,Its mass,Its gravitational constant,A
2,24,Waves,Intermediate,Understanding,S2_C24_Understanding,What is a wave best described as?,A substance that must always move from one place to another,An object that has no energy,A force that always acts in one direction,A disturbance that transfers energy from one place to another,D
2,24,Waves,Intermediate,Application,S2_C24_Application,A wave has a frequency of 5 Hz. How many complete cycles pass a fixed point each second?,1 cycle,2 cycles,5 cycles,10 cycles,C
2,24,Waves,Intermediate,Reasoning,S2_C24_Reasoning,"A wave travels through a medium at constant speed. If its frequency increases, what must happen to its wavelength?",Wavelength increases because frequency increases,Wavelength stays fixed regardless of frequency,Wavelength becomes zero whenever frequency changes,Wavelength decreases because wave speed equals frequency times wavelength,D
2,24,Waves,Intermediate,Problem Solving,S2_C24_Problem_Solving,A wave travels at 20 m/s and has a frequency of 4 Hz. What is its wavelength?,0.2 m,5 m,16 m,80 m,B
2,24,Waves,Intermediate,Misconception Detection,S2_C24_Misconception_Detection,"A student says, 'When a wave travels through a medium, every particle of the medium travels with the wave to the next location.' What is the main misconception?",The particles generally oscillate around equilibrium positions while energy is transferred,Particles disappear when a wave passes,Waves cannot transfer energy,All waves move without carrying energy,A
2,24,Waves,Intermediate,Transfer,S2_C24_Transfer,A ripple spreads outward across the surface of water after a disturbance. What does this example demonstrate about waves?,The medium as a whole moves outward with the wave,The wave transfers energy while the medium mainly oscillates around equilibrium,The disturbance permanently moves every particle away from its original position,A wave carries no energy when the medium remains in place,B
2,25,Electric Circuits,Intermediate,Understanding,S2_C25_Understanding,What is the main purpose of a complete electrical circuit?,To prevent all current from flowing,To remove the battery from the system,To provide a continuous path through which charge can move,To eliminate electrical energy,C
2,25,Electric Circuits,Intermediate,Application,S2_C25_Application,"Two identical resistors are connected in series. If each resistor has a resistance of 4 ohms, what is the total resistance?",8 ohms,4 ohms,2 ohms,16 ohms,A
2,25,Electric Circuits,Intermediate,Reasoning,S2_C25_Reasoning,A resistor is added in series to a circuit while the battery voltage remains fixed. Why does the current decrease?,Adding resistance always increases the current,"Total resistance increases, so current decreases for fixed voltage",The added resistor removes the battery voltage,Current is independent of resistance in a series circuit,B
2,25,Electric Circuits,Intermediate,Problem Solving,S2_C25_Problem_Solving,A 12 V battery is connected to a 3 ohm resistor. What current flows through the resistor?,0.25 A,3 A,4 A,36 A,C
2,25,Electric Circuits,Intermediate,Misconception Detection,S2_C25_Misconception_Detection,"A student says, 'If one bulb in a series circuit is removed, the other bulbs will continue working normally because each bulb has its own path.' What is wrong with this statement?",Bulbs do not need a circuit,Series circuits always contain separate paths,Removing a bulb increases the number of batteries,Removing one bulb opens the single series path and stops the current,D
2,25,Electric Circuits,Intermediate,Transfer,S2_C25_Transfer,Several household devices are connected in parallel. What is an important advantage of this arrangement?,Every device must stop when another device is switched off,"Each device has an independent branch, so one can operate without the others",Parallel circuits require all devices to have equal resistance,A parallel circuit prevents current from reaching individual devices,B
2,26,Thermodynamics,Advanced,Understanding,S2_C26_Understanding,What does temperature primarily indicate?,The total mass of a substance,The average kinetic energy of particles in a substance,The number of atoms only,The volume of the container only,B
2,26,Thermodynamics,Advanced,Application,S2_C26_Application,A metal spoon becomes warmer after being placed in hot water. What is the main reason?,Energy is transferred from the hotter water to the cooler spoon,The water removes all particles from the spoon,The spoon creates energy from nothing,Heat always moves from colder objects to hotter objects,A
2,26,Thermodynamics,Advanced,Reasoning,S2_C26_Reasoning,"Two samples of water are at the same temperature, but one sample contains more water. Why can the larger sample have greater thermal energy?",The larger sample must have a higher temperature,Thermal energy depends only on temperature and not on the amount of matter,The larger sample contains more particles contributing to its internal energy,The particles in the larger sample have stopped moving,C
2,26,Thermodynamics,Advanced,Problem Solving,S2_C26_Problem_Solving,A substance with mass 2 kg and specific heat capacity 500 J/(kg·°C) is heated by 4°C. How much thermal energy is required?,250 J,"1,000 J","8,000 J","4,000 J",C
2,26,Thermodynamics,Advanced,Misconception Detection,S2_C26_Misconception_Detection,"A student says, 'Temperature is the amount of heat contained in an object.' What is the key error?",Temperature and heat are two names for exactly the same quantity,Heat is simply the temperature of an object's particles,Temperature can exist only while heat is actively flowing,"Temperature describes thermal state, while heat is energy transferred because of a temperature difference",D
2,26,Thermodynamics,Advanced,Transfer,S2_C26_Transfer,"A metal pan is heated on a stove, and its handle becomes warmer even though it is not directly over the flame. Which process best explains this?",The handle produces additional thermal energy by itself,Gravity carries thermal energy through the handle,Only visible light can transfer heat through a metal pan,Conduction transfers thermal energy through the metal,D
2,27,Electromagnetism,Advanced,Understanding,S2_C27_Understanding,What is the relationship between electricity and magnetism described by electromagnetism?,Electricity and magnetism can never affect each other,"Electric currents can produce magnetic fields, and changing magnetic fields can induce electric effects",Magnetic fields exist only when objects are at rest,Electric current destroys magnetic fields,B
2,27,Electromagnetism,Advanced,Application,S2_C27_Application,A current-carrying wire is placed near a compass. The compass needle changes direction. What best explains this observation?,The electric current produces a magnetic field around the wire,The compass creates a new electric current in the wire,The wire loses all of its electrical charge,The wire stops conducting electricity,A
2,27,Electromagnetism,Advanced,Reasoning,S2_C27_Reasoning,Two identical coils carry different currents. Which coil produces the stronger magnetic effect near the coil?,The coil carrying the smaller current produces the stronger effect,Both coils must produce the same magnetic effect,Current has no relationship with magnetic fields,The coil carrying the larger current produces the stronger magnetic effect,D
2,27,Electromagnetism,Advanced,Problem Solving,S2_C27_Problem_Solving,"A transformer has 100 turns in its primary coil and 500 turns in its secondary coil. If the primary voltage is 20 V, what is the ideal secondary voltage?",100 V,20 V,500 V,4 V,A
2,27,Electromagnetism,Advanced,Misconception Detection,S2_C27_Misconception_Detection,"A student says, 'A magnetic field can only exist around a permanent magnet.' What is the key misconception?",Magnetic fields exist only when no current is present,Permanent magnets are the only possible source of magnetic fields,Electric currents can also produce magnetic fields,Electric current and magnetic fields are unrelated,C
2,27,Electromagnetism,Advanced,Transfer,S2_C27_Transfer,An electric generator produces electrical energy as a coil moves relative to a magnetic field. Which principle explains this process?,Any stationary magnetic field automatically produces continuous electrical energy,Electrical energy cannot result from electromagnetic induction,A changing magnetic environment can induce an electrical effect in a conductor,The coil produces electricity because its mass increases,C
2,28,Optics,Advanced,Understanding,S2_C28_Understanding,What is reflection of light?,The complete disappearance of light,The conversion of light into mass,The production of sound by light,The bouncing of light from a surface,D
2,28,Optics,Advanced,Application,S2_C28_Application,A light ray strikes a plane mirror at an angle of incidence of 30°. What is the angle of reflection?,30°,60°,90°,15°,A
2,28,Optics,Advanced,Reasoning,S2_C28_Reasoning,A straw partly submerged in water appears bent when viewed from above. Why does this happen?,Reflection physically bends the straw inside the water,Water prevents light from reaching the observer,The straw changes its physical shape when submerged,Refraction changes the direction of light between water and air,D
2,28,Optics,Advanced,Problem Solving,S2_C28_Problem_Solving,An object is placed 20 cm in front of a plane mirror. How far behind the mirror does its image appear?,20 cm,40 cm,60 cm,10 cm,A
2,28,Optics,Advanced,Misconception Detection,S2_C28_Misconception_Detection,A student measures the angle of incidence from the mirror surface instead of from the normal. Why is this incorrect?,The angle of incidence is measured between the incoming ray and the mirror surface,The angle of incidence is measured between the incoming ray and the normal,The normal is parallel to the mirror surface,The angle cannot be measured for reflected light,B
2,28,Optics,Advanced,Transfer,S2_C28_Transfer,A driver uses a rear-view mirror to see a vehicle behind the car. Which optical principle allows the driver to see the vehicle?,Refraction creates a second source of light behind the mirror,The mirror absorbs the light and sends the image directly to the driver,Reflection redirects light from the vehicle toward the driver's eyes,The mirror increases the brightness of the vehicle itself,C
2,29,Modern Physics,Advanced,Understanding,S2_C29_Understanding,What is one major idea introduced by modern physics?,All physical laws stop applying to the universe,Objects can never have energy,Matter and energy can behave in ways that differ from classical expectations at very small scales or high speeds,Time and space have no physical significance,C
2,29,Modern Physics,Advanced,Application,S2_C29_Application,Light with higher frequency carries more energy per photon than light with lower frequency. Which relationship explains this?,Photon energy decreases with frequency,Photon energy is always zero,Frequency has no relationship to photon energy,Photon energy increases with frequency,D
2,29,Modern Physics,Advanced,Reasoning,S2_C29_Reasoning,"In the photoelectric effect, increasing brightness does not eject electrons when the light frequency is below the threshold frequency. What does this observation support?",Increasing brightness always increases the energy of each photon,Electrons are emitted whenever any light is present,"Photon energy depends on frequency, so below the threshold each photon lacks enough energy",Photon energy is unrelated to the frequency of light,C
2,29,Modern Physics,Advanced,Problem Solving,S2_C29_Problem_Solving,"A photon has frequency 5 × 10^14 Hz. Using h = 6.63 × 10^-34 J·s, approximately what is its energy?",1.3 × 10^-48 J,3.3 × 10^-19 J,3.3 × 10^19 J,3.3 × 10^-20 J,B
2,29,Modern Physics,Advanced,Misconception Detection,S2_C29_Misconception_Detection,"A student says, 'If two light beams have the same frequency, making one brighter must increase the energy of each photon.' Which response best identifies the misconception?","At fixed frequency, greater brightness mainly means more photons rather than more energy per photon",Photon energy depends on brightness but not frequency,Changing brightness removes the energy carried by photons,"At fixed frequency, brightness changes the energy of each photon",A
2,29,Modern Physics,Advanced,Transfer,S2_C29_Transfer,A solar cell converts incoming light into electrical energy. Which explanation is most consistent with the photon model?,Photons cannot interact with electrons in a semiconductor,Photons can transfer energy to electrons in the material,Photon energy is unrelated to the behavior of electrons,Light can produce electricity only through mechanical motion,B
2,30,Quantum Physics Basics,Advanced,Understanding,S2_C30_Understanding,What is a basic idea of quantum physics?,All physical quantities must always vary continuously,Particles cannot have energy,Some physical quantities can take discrete or quantized values,Measurements have no relationship to physical systems,C
2,30,Quantum Physics Basics,Advanced,Application,S2_C30_Application,An electron in an atom moves from a higher energy level to a lower energy level. What can happen?,The electron must disappear,A photon can be emitted with energy equal to the energy difference,No energy change can occur,The atom must lose all of its mass,B
2,30,Quantum Physics Basics,Advanced,Reasoning,S2_C30_Reasoning,Two elements produce different patterns of spectral lines. What is the best explanation?,All elements have identical energy transitions but different sample sizes,Different elements have different allowed energy transitions and characteristic spectral lines,Atoms cannot exchange energy with electromagnetic radiation,Spectral patterns depend only on the brightness of the laboratory light,B
2,30,Quantum Physics Basics,Advanced,Problem Solving,S2_C30_Problem_Solving,"A photon has an energy of 6.63 × 10^-34 J. Using h = 6.63 × 10^-34 J·s, what is its frequency?",10 Hz,6.63 Hz,0 Hz,1 Hz,D
2,30,Quantum Physics Basics,Advanced,Misconception Detection,S2_C30_Misconception_Detection,"A student says, 'Quantum physics means every possible outcome has the same probability.' Which statement corrects this misunderstanding?",Quantum probabilities depend on the physical state and governing rules of the system,Quantum outcomes cannot be described using mathematical rules,Quantum probability applies only to very large objects,Quantum theory assigns equal probability to every possible outcome,A
2,30,Quantum Physics Basics,Advanced,Transfer,S2_C30_Transfer,A laser emits light within a very narrow range of frequencies. Which quantum idea helps explain why atoms can emit photons with specific energies?,Atoms can emit every possible photon energy without restrictions,Photon energy is unrelated to atomic energy levels,Laser light is produced without interactions involving matter,Discrete atomic energy levels allow transitions that produce photons with specific energies,D
3,31,Computational Thinking,Beginner,Understanding,CS31_U,What is the main purpose of decomposition in computational thinking?,To divide a complex problem into smaller manageable parts,To remove all difficult parts of a problem,To make a problem more complicated,To avoid solving the problem,A
3,31,Computational Thinking,Beginner,Application,CS31_A,A student is planning a school event with many tasks. Which approach best demonstrates decomposition?,Replace the event plan with a single general statement about what should happen,Complete the entire event plan at once without separating the tasks,Choose the most difficult task and ignore the others until it is finished,"Break the event into smaller tasks such as budgeting, scheduling, invitations, and setup",D
3,31,Computational Thinking,Beginner,Reasoning,CS31_R,Why is pattern recognition useful when solving problems?,It removes the need to understand the problem,It guarantees that every problem has the same solution,It can help identify similarities with problems solved before,It makes problems impossible to solve,C
3,31,Computational Thinking,Beginner,Problem Solving,CS31_P,You need to calculate the total cost of several items. Which approach best uses decomposition?,Ignore the individual item costs,Calculate each item's cost and then combine the results,Choose a random total,Only calculate the most expensive item,B
3,31,Computational Thinking,Beginner,Misconception Detection,CS31_M,Which statement shows a common misunderstanding about decomposition?,The smaller parts created by decomposition can be solved separately and then combined,Decomposition can make a complex problem easier to manage by dividing it into smaller parts,Decomposition means removing difficult parts of a problem so they do not need to be solved,Decomposition can help identify the different tasks that make up a larger problem,C
3,31,Computational Thinking,Beginner,Transfer,CS31_T,Which situation is an example of applying decomposition outside programming?,Breaking a complex project into smaller tasks,Making a task harder on purpose,Avoiding all planning,Doing every task simultaneously without organization,A
3,32,Algorithms,Beginner,Understanding,CS32_U,What is an algorithm?,A finite sequence of clear steps for solving a problem,A type of computer hardware,A programming language,A computer screen,A
3,32,Algorithms,Beginner,Application,CS32_A,Which sequence correctly describes an algorithm for comparing two numbers?,Always output the first number,Output a random number,Ignore both numbers,"Read the two numbers, compare them, then output the larger number",D
3,32,Algorithms,Beginner,Reasoning,CS32_R,Why should algorithm steps be clear and unambiguous?,So that it can only be used once,So that the algorithm becomes longer,So that no one can understand it,So that the procedure can be followed consistently,D
3,32,Algorithms,Beginner,Problem Solving,CS32_P,Which method can be used to determine whether an integer is even or odd?,Add 2 to the number,Multiply the number by 2,Check the remainder after dividing the number by 2,Convert every number to zero,C
3,32,Algorithms,Beginner,Misconception Detection,CS32_M,Which statement is incorrect about algorithms?,An algorithm can be described using ordinary language,An algorithm must always be written in Python,An algorithm consists of steps for solving a problem,An algorithm should have clear instructions,B
3,32,Algorithms,Beginner,Transfer,CS32_T,A student needs to give a friend precise instructions for preparing a simple meal. Which feature would make the instructions most like an algorithm?,The instructions describe only the final result without explaining how to reach it,The instructions contain clear steps that can be followed in a defined order,The instructions change their meaning depending on who reads them,The instructions include several possible actions without specifying when to choose each one,B
3,33,Programming Fundamentals,Beginner,Understanding,CS33_U,What is a variable in programming?,A type of monitor,A physical computer component,A named place used to store a value,A network cable,C
3,33,Programming Fundamentals,Beginner,Application,CS33_A,You need to store three test scores and calculate their total. What programming concept can store the scores?,Variables,A monitor,A keyboard,A network router,A
3,33,Programming Fundamentals,Beginner,Reasoning,CS33_R,Why are conditional statements useful in programs?,They always repeat the same action,They allow different actions depending on whether a condition is true or false,They permanently store files,They replace all variables,B
3,33,Programming Fundamentals,Beginner,Problem Solving,CS33_P,A program should print 'Pass' when a student's score is 50 or higher and 'Fail' otherwise. Which concept is needed?,A conditional statement,A computer monitor,A storage device,A network cable,A
3,33,Programming Fundamentals,Beginner,Misconception Detection,CS33_M,Which statement about variables is a misconception?,The role and behavior of a variable can depend on the programming language being used,A variable can be used to store a value that a program needs to work with,Variables allow programs to refer to stored data using meaningful names,A variable must always represent exactly the same kind of value throughout every program,D
3,33,Programming Fundamentals,Beginner,Transfer,CS33_T,Which programming concept is most useful when the same action must be repeated for every item in a list?,A printer,A monitor,A loop,A network cable,C
3,34,Data Representation,Beginner,Understanding,CS34_U,Why do digital computers commonly use binary representation?,Binary is always shorter than decimal,Computers can only understand decimal numbers,Binary requires no hardware,Digital hardware can reliably represent two distinct states,D
3,34,Data Representation,Beginner,Application,CS34_A,What is the binary representation of decimal 5?,110,100,101,111,C
3,34,Data Representation,Beginner,Reasoning,CS34_R,Why can the same binary pattern represent different types of information?,Binary cannot represent images,Binary patterns always mean numbers,Binary can only represent text,Its meaning depends on how the data is interpreted,D
3,34,Data Representation,Beginner,Problem Solving,CS34_P,What is the binary representation of decimal 10?,1010,1001,1100,1110,A
3,34,Data Representation,Beginner,Misconception Detection,CS34_M,Which statement about a bit is correct?,A bit always stores a complete image,"A bit can represent one of two binary states, commonly 0 or 1",A bit must contain a decimal number from 0 to 9,A bit is larger than a byte,B
3,34,Data Representation,Beginner,Transfer,CS34_T,How can a digital photograph be represented inside a computer?,Only as handwritten text,As numerical data representing pixel information,Only as physical paper,Without any digital data,B
3,35,Computer Systems Basics,Beginner,Understanding,CS35_U,What is the main role of the CPU?,To permanently store all files,To provide internet access by itself,To display images without processing,To execute instructions and process data,D
3,35,Computer Systems Basics,Beginner,Application,CS35_A,Which component provides temporary working storage for programs that are currently running?,RAM,SSD,Keyboard,Monitor,A
3,35,Computer Systems Basics,Beginner,Reasoning,CS35_R,Why is RAM different from an SSD in a typical computer system?,RAM permanently stores files while an SSD does not,"RAM is temporary working memory, while an SSD provides persistent storage",Both are exactly the same type of memory,An SSD is used only to display images,B
3,35,Computer Systems Basics,Beginner,Problem Solving,CS35_P,A computer becomes noticeably slower when many applications are open at the same time. Which explanation is most reasonable?,The keyboard automatically reduces the processor's instruction speed when more applications are opened,The monitor changes the computer's internal processing capacity according to the number of open applications,The SSD stops permanently storing files whenever RAM usage increases,"The available RAM may become heavily used, causing the operating system to manage memory more actively",D
3,35,Computer Systems Basics,Beginner,Misconception Detection,CS35_M,Which statement is incorrect?,The CPU executes instructions,RAM provides temporary working memory,The CPU is a permanent storage device for files,Storage devices can keep data after power is turned off,C
3,35,Computer Systems Basics,Beginner,Transfer,CS35_T,Why do smartphone applications depend on both hardware and software?,Software instructions run using the smartphone's hardware resources,Hardware can run every application without software,Software never interacts with hardware,Applications do not require processing,A
3,36,Data Structures,Intermediate,Understanding,CS36_U,What is the main purpose of a data structure?,To organize and store data so it can be accessed and processed effectively,To replace the operating system,To increase the physical size of memory,To prevent programs from using data,A
3,36,Data Structures,Intermediate,Application,CS36_A,A program repeatedly needs to add items at one end of a collection and remove the most recently added item. Which data structure is the most appropriate?,"Queue, because it processes the oldest item first","Graph, because it represents relationships between items","Stack, because it follows a last-in, first-out pattern","Hash table, because it maps keys to values",C
3,36,Data Structures,Intermediate,Reasoning,CS36_R,Why can choosing an appropriate data structure improve a program?,Different structures support different operations efficiently,Every data structure performs every operation equally well,Data structures eliminate the need for algorithms,The choice of structure never affects performance,A
3,36,Data Structures,Intermediate,Problem Solving,CS36_P,"A program frequently needs to access the first item, remove it, and then process the next item in arrival order. Which data structure best matches this requirement?",Stack,Queue,Binary search tree,Hash table,B
3,36,Data Structures,Intermediate,Misconception Detection,CS36_M,Which statement is incorrect about data structures?,Different structures have different strengths,A queue follows first-in-first-out behavior,A stack follows last-in-first-out behavior,There is one data structure that is always the best choice for every problem,D
3,36,Data Structures,Intermediate,Transfer,CS36_T,A hospital wants to manage patients waiting for service in arrival order. Which data-structure idea best represents this process?,Stack,Queue,Tree,Graph,B
3,37,Object-Oriented Programming,Intermediate,Understanding,CS37_U,What is the main idea of a class in object-oriented programming?,It defines a structure and behavior that objects can use,It is always a physical computer component,It stores only images,It replaces the operating system,A
3,37,Object-Oriented Programming,Intermediate,Application,CS37_A,A program models several bank accounts. Which approach is most appropriate in object-oriented programming?,Create a separate computer for every account,Create a BankAccount class and objects representing individual accounts,Store every account only as a picture,Avoid representing account data in the program,B
3,37,Object-Oriented Programming,Intermediate,Reasoning,CS37_R,Why is encapsulation useful in object-oriented programming?,It makes all internal data accessible to everyone,It prevents objects from having any behavior,It helps control access to an object's internal data and behavior,It removes the need for program logic,C
3,37,Object-Oriented Programming,Intermediate,Problem Solving,CS37_P,You are designing a program for different types of vehicles. Cars and motorcycles share some common properties but also have specialized behavior. Which OOP feature can help model this relationship?,Randomization,Binary conversion,File compression,Inheritance,D
3,37,Object-Oriented Programming,Intermediate,Misconception Detection,CS37_M,Which statement shows a misconception about objects?,An object can contain data and behavior,An object must always represent a physical object in the real world,Objects can be created from classes,A program can use objects to model concepts,B
3,37,Object-Oriented Programming,Intermediate,Transfer,CS37_T,"A school-management system represents students, teachers, and courses as objects. What does this demonstrate?",Using objects only for graphical design,Avoiding data organization,Using objects to model entities and their relationships in a problem domain,Replacing all algorithms with hardware,C
3,38,Database Fundamentals,Intermediate,Understanding,CS38_U,What is the primary purpose of a database?,To replace the computer's CPU,To prevent data from being searched,To display only images,To store and organize data so it can be managed and retrieved efficiently,D
3,38,Database Fundamentals,Intermediate,Application,CS38_A,"A school needs to store student names, IDs, and grades. Which database structure is commonly used to organize this information?",A computer monitor,A table with rows and columns,A network cable,A CPU register,B
3,38,Database Fundamentals,Intermediate,Reasoning,CS38_R,Why is a primary key useful in a relational database table?,It guarantees that every record has the same values,It can uniquely identify each record,It replaces every column in the table,It prevents the database from storing data,B
3,38,Database Fundamentals,Intermediate,Problem Solving,CS38_P,A teacher wants to find all students whose grades are above 80. What database operation is most appropriate?,Delete all student records,Change every grade to 80,Turn off the database,Query the data using a condition on the grade,D
3,38,Database Fundamentals,Intermediate,Misconception Detection,CS38_M,Which statement about databases is incorrect?,Databases can support searching and retrieving information,Relational databases organize data using tables,A database is simply a collection of unrelated files with no organization,A database can contain many related records,C
3,38,Database Fundamentals,Intermediate,Transfer,CS38_T,A hospital needs to manage patient records and retrieve them quickly. Why would a database be useful?,"It provides an organized way to store, search, and update patient information",It removes the need for any stored data,It prevents information from being updated,It can only store images,A
3,39,Computer Networks,Intermediate,Understanding,CS39_U,What is the main purpose of a computer network?,To make every computer operate without software,To allow connected devices to communicate and share resources,To replace all storage devices,To prevent devices from communicating,B
3,39,Computer Networks,Intermediate,Application,CS39_A,Several computers in an office need to share files and a printer. What technology enables this?,A CPU cache,A single variable,A computer network,A programming loop,C
3,39,Computer Networks,Intermediate,Reasoning,CS39_R,Why are network protocols important?,They make communication completely random,They physically increase the size of computers,They eliminate the need for network devices,They define rules that devices use to communicate,D
3,39,Computer Networks,Intermediate,Problem Solving,CS39_P,"A laptop can communicate with other devices on the same local network, but it cannot access websites on the Internet. Which investigation is most appropriate first?",Replace the laptop's keyboard because network communication depends on keyboard input,Increase the monitor resolution because websites require higher display settings,"Check the Internet connection, default gateway, and network configuration",Delete files from the laptop because Internet access requires additional storage space,C
3,39,Computer Networks,Intermediate,Misconception Detection,CS39_M,Which statement is incorrect about computer networks?,Networks can connect devices over different distances,Devices can communicate using agreed protocols,Networks can support resource sharing,A network always requires every device to be physically next to each other,D
3,39,Computer Networks,Intermediate,Transfer,CS39_T,A student sends a file from a phone to a laptop using a wireless connection. What concept does this demonstrate?,Network communication and data transfer,Database normalization,CPU instruction execution only,Object inheritance,A
3,40,Operating Systems Basics,Intermediate,Understanding,CS40_U,What is a major responsibility of an operating system?,Only displaying pictures,Managing computer resources and providing services for applications,Replacing all application software,Storing every file permanently inside the CPU,B
3,40,Operating Systems Basics,Intermediate,Application,CS40_A,A computer is running several applications at the same time. Which operating-system responsibility is most directly involved in deciding how processor time is shared among them?,Process scheduling and management,Screen brightness control,File compression,Web page design,A
3,40,Operating Systems Basics,Intermediate,Reasoning,CS40_R,Why does an operating system manage memory?,To permanently increase the computer's physical RAM,To allocate memory to programs and help prevent conflicting use of memory,To eliminate the need for storage devices,To make every program use exactly the same amount of memory,B
3,40,Operating Systems Basics,Intermediate,Problem Solving,CS40_P,A program stops responding while other applications continue running normally. Which operating-system capability is most relevant when attempting to isolate or terminate the problematic program?,Image rendering,Keyboard layout selection,Printer formatting,Process management,D
3,40,Operating Systems Basics,Intermediate,Misconception Detection,CS40_M,Which statement about an operating system is incorrect?,An operating system manages resources,It provides services for applications,It can manage processes and memory,The operating system is only a graphical interface and does not manage hardware resources,D
3,40,Operating Systems Basics,Intermediate,Transfer,CS40_T,A smartphone allows a user to switch between multiple applications while managing memory and processor time. Which concept explains this?,Database primary keys,Algorithm sorting,Operating-system resource and process management,Binary image compression,C
3,41,Algorithm Analysis,Advanced,Understanding,CS41_U,What does the time complexity of an algorithm describe?,How the algorithm's running time grows as the input size increases,The amount of screen space used by the program,The physical size of the computer,The programming language used to write the algorithm,A
3,41,Algorithm Analysis,Advanced,Application,CS41_A,An algorithm examines every element in a list of n elements once. What is its typical time complexity?,O(n),O(n²),O(1),O(2ⁿ),A
3,41,Algorithm Analysis,Advanced,Reasoning,CS41_R,Why can an O(log n) search algorithm be much faster than an O(n) search for large inputs?,O(log n) always examines every element,The number of required steps grows much more slowly as the input increases,O(n) becomes constant for large inputs,The two complexities always require the same number of steps,B
3,41,Algorithm Analysis,Advanced,Problem Solving,CS41_P,"An algorithm contains two consecutive loops. The first processes n items, while the second processes n² items. What is the overall time complexity, assuming the loops are not nested?",O(n),O(log n),O(n³),O(n²),D
3,41,Algorithm Analysis,Advanced,Misconception Detection,CS41_M,Which statement about Big-O notation is incorrect?,Big-O describes growth behavior,O(n) means the algorithm always performs exactly n operations,Input size affects complexity analysis,Different algorithms can have different complexity classes,B
